TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
694413.1109,-952.82,-220.82,-222.955,332.5,1373.75,-1828.75,615.6,235.6,85.12
694413.1609,-951.112,-214.537,-222.467,857.5,1566.25,-2073.75,623.2,220.4,74.48
694413.2109,-952.515,-216.977,-220.637,-612.5,1505.0,-2100.0,647.52,224.96,85.12
694413.2609,-953.125,-217.343,-223.504,-953.75,1925.0,-1618.75,626.24,244.72,74.48
694413.3109,-951.417,-219.234,-219.966,-70.0,1925.0,-1610.0,633.84,217.36,86.64
694413.3609,-954.528,-216.001,-220.149,-936.25,1820.0,-1487.5,633.84,226.48,88.16
694413.4109,-953.125,-216.123,-220.576,-1032.5,1855.0,-1548.75,623.2,238.64,74.48
694413.4609,-952.82,-214.842,-220.21,-140.0,2021.25,-936.25,635.36,231.04,88.16
694413.5109,-948.672,-211.914,-223.931,-332.5,2546.25,-1058.75,617.12,226.48,83.6
694413.5609,-958.554,-217.16,-227.225,-621.25,2222.5,-1960.0,641.44,235.6,91.2
694413.611,-948.916,-224.297,-222.284,-910.0,1382.5,-1513.75,633.84,243.2,65.36
694413.6609,-951.6,-210.572,-222.04,516.25,2213.75,-1636.25,638.4,224.96,83.6
694413.7109,-951.539,-215.391,-224.358,-315.0,2450.0,-1610.0,633.84,237.12,79.04
694413.7609,-952.149,-215.025,-225.456,-892.5,2327.5,-1330.0,633.84,224.96,79.04
694413.8109,-948.306,-215.391,-227.713,-1470.0,2397.5,-1522.5,635.36,238.64,95.76
694413.8609,-955.016,-214.049,-227.225,-875.0,2030.0,-1400.0,624.72,215.84,83.6
694413.9109,-951.905,-215.818,-224.602,288.75,1330.0,-1715.0,626.24,226.48,80.56
694413.9609,-951.905,-215.208,-225.883,-1023.75,1995.0,-1610.0,627.76,228.0,74.48
694414.0109,-952.393,-218.746,-227.591,-848.75,1767.5,-1688.75,621.68,249.28,86.64
694414.0609,-951.173,-215.513,-223.87,8.75,1881.25,-1295.0,633.84,240.16,74.48
694414.1109,-952.942,-210.694,-223.443,-770.0,1653.75,-1216.25,644.48,234.08,86.64
694414.1609,-952.332,-217.404,-221.43,-1076.25,1627.5,-1785.0,632.32,246.24,77.52
694414.2109,-954.589,-217.465,-222.101,-385.0,1382.5,-1767.5,623.2,223.44,85.12
694414.2609,-951.478,-215.818,-225.334,-280.0,1496.25,-1618.75,638.4,243.2,82.08
694414.3109,-951.356,-210.45,-225.822,-1487.5,1706.25,-1356.25,626.24,240.16,82.08
694414.3609,-960.079,-215.818,-225.029,630.0,1470.0,-2292.5,638.4,232.56,85.12
694414.4109,-944.951,-222.711,-220.332,175.0,1111.25,-2047.5,633.84,246.24,79.04
694414.4609,-949.892,-213.256,-220.088,-603.75,1636.25,-1627.5,638.4,218.88,82.08
694414.5109,-949.343,-216.916,-223.504,-472.5,2126.25,-1487.5,638.4,241.68,68.4
694414.561,-954.711,-212.036,-222.223,131.25,2117.5,-1505.0,615.6,229.52,85.12
694414.6109,-948.062,-216.062,-228.506,-481.25,2826.25,-2187.5,646.0,240.16,68.4
694414.6609,-953.43,-218.929,-225.212,-2187.5,1356.25,-1242.5,624.72,234.08,83.6
694414.7109,-949.343,-215.086,-223.87,280.0,1653.75,-1601.25,632.32,228.0,74.48
694414.7609,-952.515,-215.696,-224.053,-1006.25,1653.75,-1452.5,621.68,247.76,74.48
694414.8109,-953.308,-216.489,-224.297,-1776.25,1750.0,-1233.75,646.0,217.36,94.24
694414.8609,-950.807,-215.269,-224.236,-1050.0,2161.25,-1137.5,636.88,237.12,74.48
694414.9109,-952.82,-211.914,-223.87,-726.25,2248.75,-1347.5,635.36,237.12,91.2
694414.9609,-950.563,-211.121,-226.981,-1268.75,2248.75,-1085.0,638.4,237.12,79.04
694415.0109,-951.966,-211.426,-225.761,-682.5,1881.25,-831.25,624.72,224.96,86.64
694415.0609,-951.417,-208.559,-227.408,-455.0,1758.75,-1233.75,635.36,221.92,79.04
694415.1109,-957.578,-211.182,-226.127,-262.5,1496.25,-1715.0,632.32,238.64,72.96
694415.1609,-955.809,-211.365,-223.077,-673.75,1111.25,-1618.75,644.48,228.0,95.76
694415.2109,-950.563,-210.877,-219.783,455.0,2537.5,-2012.5,642.96,244.72,83.6
